Location,Time,TotalPopulation,TotalPopulationMale,TotalPopulationFemale,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CrudeBirthRate,TotalFertilityRate,NetReproductionRate,MeanAgeChildbearing,SexRatioatBirth,Deaths,DeathsMale,DeathsFemale,CrudeDeathRate,LifeExpectancyatBirth,LifeExpectancyMale,LifeExpectancyFemale,LifeExpectancy15,LifeExpectancy15Male,LifeExpectancy15Female,LifeExpectancy65,LifeExpectancy65Male,LifeExpectancy65Female,LifeExpectancy80,LifeExpectancy80Male,LifeExpectancy80Female,InfantMortality,InfantMortalityRate,LiveBirthsSurvivingAge1,MortalityUnder5,Under5MortalityRate,MortalityBefore40,MortalityBefore40Male,MortalityBefore40Female,MortalityBefore60,MortalityBefore60Male,MortalityBefore60Female,MortalityBetween15&50,MortalityBetween15&50Male,MortalityBetween15&50Female,MortalityBetween15&60,MortalityBetween15&60Male,MortalityBetween15&60Female,NetMigrations,CrudeNetMigrationsRate
India,1952,372997.188,191887.475,181109.714,125.4535,105.951,19.9393,8164.985,21.887,8180.784,2.193,31.6073,16458.33,2682.663,44.117,5.8211,1.7391,28.318,105.1,8293.345,4122.618,4170.728,22.23,42.038,42.9119,41.1155,45.0039,45.3153,44.6714,10.8655,10.7049,11.0257,4.7673,4.7058,4.8184,2901.373,177.5306,14410.547,4423.309,277.4152,432.9442,412.6799,454.0345,603.3709,595.1869,611.978,281.325,270.4584,292.7839,426.0055,424.0521,428.0209,15.795,0.042
India,1956,407656.597,210107.732,197548.865,137.1108,106.3573,19.6356,9310.444,22.832,9191.188,2.255,30.7382,17843.839,2854.63,43.759,5.9135,1.8326,28.358,105.2,8533.395,4273.641,4259.755,20.927,43.7619,44.4728,43.0043,45.7662,45.8996,45.627,11.1132,10.8805,11.3482,4.8509,4.7479,4.9445,2971.993,167.2954,15751.667,4524.259,258.8017,410.1205,392.0467,429.0895,579.8158,574.0832,585.9645,268.732,260.5413,277.4229,409.2808,410.3142,408.1195,-119.26,-0.292
India,1960,445954.578,230135.579,215819.0,149.992,106.6336,19.2371,10201.318,22.873,10253.581,2.299,30.1499,18957.618,2930.137,42.506,5.9211,1.8925,28.345,105.2,8756.3,4392.735,4363.565,19.633,45.218,45.8837,44.5076,46.3907,46.5086,46.2712,11.1606,10.9341,11.3941,4.8968,4.8095,4.9787,2983.52,158.2071,16855.608,4513.618,242.541,388.4307,370.6247,407.1379,559.6647,554.5992,565.0803,254.9754,246.9504,263.4309,395.3187,396.8291,393.5604,52.264,0.117
India,1964,489059.309,252612.93,236446.379,164.4898,106.8373,18.6574,11230.312,22.96,11236.148,2.298,30.1631,20406.981,3227.732,41.721,5.9794,1.9449,28.355,105.2,9176.669,4607.795,4568.874,18.761,46.184,46.8219,45.5008,46.6237,46.7398,46.5057,11.4677,11.2018,11.7427,4.9721,4.8395,5.0998,3068.033,151.0821,18246.17,4604.679,230.0631,379.3496,362.2564,397.3301,548.4907,542.6045,554.8608,256.5819,247.806,265.7731,391.0239,391.1032,390.9098,5.837,0.012
India,1968,533431.908,275736.482,257695.426,179.414,107.0009,18.2339,11967.717,22.429,11783.389,2.209,31.3783,21454.18,3993.385,40.207,5.7598,1.9289,28.102,105.3,9486.463,4768.994,4717.469,17.778,47.471,48.0653,46.8365,47.47,47.6026,47.3371,11.1907,10.9933,11.3965,4.9517,4.9163,4.9833,3096.345,144.9885,19274.109,4620.987,219.2784,353.646,336.2168,371.9481,526.7537,522.6446,531.1986,229.9825,221.4431,238.8231,370.9259,372.6298,368.9944,-184.326,-0.345
India,1972,582837.973,301529.376,281308.597,196.0312,107.1881,18.3504,13133.262,22.53,13072.965,2.243,30.9027,22835.036,4575.66,39.173,5.4815,1.8769,27.824,105.6,9701.774,4865.983,4835.791,16.643,49.025,49.6943,48.3097,48.6683,48.8963,48.4291,11.5323,11.3667,11.7057,5.4279,5.4368,5.4203,3149.286,138.4811,20618.794,4669.274,208.112,330.5864,311.8397,350.2975,501.8918,496.1813,507.9963,204.8434,194.4251,215.7467,346.9169,346.5896,347.1537,-60.291,-0.103
India,1976,637451.448,330077.58,307373.867,214.3998,107.3864,18.6511,14448.92,22.656,14012.805,2.198,31.5354,24020.807,4803.042,37.665,5.1301,1.8113,27.626,106.2,9571.887,4833.77,4738.117,15.009,51.3883,51.8836,50.8517,50.1152,50.1759,50.0499,12.4092,12.1061,12.726,6.0674,5.9487,6.1845,3058.099,127.8683,21868.147,4486.561,189.5837,304.52,287.5418,322.5687,468.7134,464.6139,473.1685,186.9133,177.8378,196.6056,321.0903,322.2443,319.7996,-436.104,-0.684
India,1980,696828.385,360875.327,335953.058,234.3706,107.4184,19.0365,15705.144,22.538,15907.463,2.283,30.3612,25235.028,5070.153,36.214,4.7753,1.7577,27.279,106.7,9529.884,4918.805,4611.079,13.676,53.6114,53.5451,53.6962,51.0285,50.4362,51.6998,12.1946,11.6692,12.7563,5.8177,5.5708,6.0622,2888.969,115.2148,23197.343,4157.376,168.056,269.2253,257.1297,282.2725,432.9601,440.9851,424.3591,163.1107,163.9236,162.4745,296.5382,312.1741,279.3801,202.323,0.29
India,1984,762895.156,394865.497,368029.66,256.5915,107.2918,19.392,17306.812,22.682,17249.03,2.261,30.6567,26777.35,5460.569,35.094,4.516,1.7208,26.971,106.9,9470.538,4949.589,4520.949,12.412,55.8157,55.3872,56.3153,52.1218,51.1279,53.2614,12.2038,11.424,13.0528,5.7547,5.3401,6.1687,2775.292,104.1546,24822.691,3936.809,149.5531,238.9735,229.7791,248.9308,395.0316,408.2096,381.0053,142.0207,147.3829,136.4891,267.9145,289.3037,244.6323,-57.788,-0.076
India,1988,833729.681,431194.389,402535.292,280.4159,107.1196,19.7448,18285.587,21.93,18181.842,2.181,31.7812,27654.404,5349.477,33.166,4.2218,1.653,26.825,106.9,9368.817,4922.515,4446.302,11.236,57.7772,57.1132,58.5456,53.0229,51.7796,54.4507,12.4353,11.434,13.5265,5.8168,5.2238,6.3797,2610.162,94.5597,25821.687,3670.082,133.7956,215.3479,207.1754,224.1569,364.9529,380.4144,348.7716,128.7169,135.1532,121.9109,248.3215,271.9101,223.0228,-103.742,-0.124
India,1992,907574.049,469046.096,438527.953,305.2526,106.9592,20.2251,18772.05,20.684,18780.245,2.069,33.5016,28057.136,5714.733,30.914,3.8774,1.5507,26.461,107.6,9285.086,4872.221,4412.865,10.23,59.4524,58.6596,60.335,53.6358,52.2858,55.1482,12.7368,11.7043,13.8183,5.9798,5.3546,6.5093,2396.484,85.5145,26375.592,3325.048,119.2015,195.8685,188.6609,203.6445,342.8792,360.1266,324.9324,122.1005,129.4925,114.1335,237.9218,262.894,211.3155,8.198,0.009
India,1996,983281.218,508349.16,474932.058,330.7159,107.0362,20.8444,19042.98,19.367,19016.909,1.934,35.8401,28304.911,5439.087,28.786,3.5816,1.4499,26.269,109.0,9261.931,4818.238,4443.693,9.419,60.9841,60.2767,61.7332,54.2178,52.9136,55.6359,13.1587,12.3141,13.9952,6.3136,5.8824,6.6429,2182.429,77.1007,26764.517,2988.739,105.896,179.8971,173.226,187.1245,324.3867,341.4601,306.4818,118.758,127.8006,108.8195,230.1777,255.3671,203.0975,-26.079,-0.027
